industry,year,t,gross_output_cp,va_cp,energy_cp,material_cp,number_employed,lab_quality,capital_stock_cp,services_cp
23,1985,6,"38,365","24,663",453,1625,742,101.04,"44,348",5743
24,1985,6,"1,43,171","1,03,098",1071,4278,"8,732",104.11,"6,65,228",28606
25,1985,6,"37,311","31,428",106,4703,"4,780",102.84,"20,477",1762
26,1985,6,"31,307","12,014",546,13783,"1,739",105.1,"9,216",5922
27,1985,6,"2,47,750","2,10,411",468,23513,"8,697",106.04,"16,16,281",4703
1,1986,7,"9,37,122","6,77,420",14569,203851,"2,10,053",101.79,"12,28,458",41281
2,1986,7,"1,56,820","89,410",11185,9402,"2,158",107.34,"89,102",8507
3,1986,7,"1,17,517","32,503",2133,66511,"7,168",104.06,"1,30,213",15754
4,1986,7,"87,293","34,012",7053,33644,"12,161",104.05,"73,641",19969
5,1986,7,"38,348","20,414",491,8722,"2,957",96.62,"11,586",3479
6,1986,7,"25,997","10,268",2246,8491,894,106.24,"1,48,667",3968
7,1986,7,"2,08,703","22,812",4528,310806,75,103.07,"15,851",2895
8,1986,7,"1,01,115","26,167",10919,26240,"1,238",107.85,"1,03,427",15011
9,1986,7,"12,161","5,494",1238,7336,330,108.15,"14,106",5457
10,1986,7,"38,030","15,993",9401,5876,"2,950",107.62,"28,024",7932
11,1986,7,"1,27,711","42,801",22371,60990,"2,481",107.66,"1,20,328",21868
12,1986,7,"43,956","20,352",2309,24844,536,113.59,"29,174",11001
13,1986,7,"14,450","6,472",943,8421,642,104.72,"29,814",5650
14,1986,7,"57,263","17,224",3274,29750,663,109.04,"32,904",14055
15,1986,7,"9,168","6,238",432,3846,"2,571",104.2,"28,746",1884
16,1986,7,"1,02,979","36,104",26898,38453,"1,044",103.47,"5,35,680",18677
17,1986,7,"3,30,403","1,26,434",5716,96742,"10,241",103.27,"56,606",54284
18,1986,7,"1,93,546","1,37,715",3522,5721,"21,745",104.34,"66,499",44479
19,1986,7,"51,101","11,532",3327,26983,"2,916",101.77,"18,534",6406
20,1986,7,"1,40,331","69,919",36308,16750,"7,812",103.85,"5,06,188",25439
21,1986,7,"16,895","6,649",2494,3720,531,102.95,"45,015",6803
22,1986,7,"74,597","57,656",1127,1839,"1,357",104.71,"88,592",9053
23,1986,7,"42,573","27,194",512,1754,789,101.25,"46,837",7011
24,1986,7,"1,56,336","1,12,578",1070,4951,"9,159",104.95,"7,15,142",31116
25,1986,7,"39,584","33,754",130,4576,"4,844",103.42,"22,046",1886
26,1986,7,"31,494","12,442",560,14047,"1,771",106.16,"10,046",6082
27,1986,7,"2,66,760","2,27,317",480,23193,"8,794",107.29,"16,32,854",5222
1,1987,8,"9,21,687","6,66,664",14148,199622,"2,10,631",102.1,"12,68,159",41253
2,1987,8,"1,66,786","92,783",11362,10050,"2,289",108.61,"96,647",8697
3,1987,8,"1,27,407","33,974",2346,69106,"7,266",104.76,"1,34,655",17049
4,1987,8,"87,738","32,674",7118,34858,"12,420",104.74,"77,710",21279
5,1987,8,"37,250","20,715",490,7424,"2,974",96.07,"11,744",3230
6,1987,8,"25,662","10,172",2075,7876,940,107.32,"1,55,580",3747
7,1987,8,"2,18,898","26,953",7188,313818,86,103.59,"16,526",2955
8,1987,8,"1,05,051","28,740",10198,27513,"1,286",109.22,"1,07,485",14928
9,1987,8,"13,525","5,444",1641,9011,360,109.57,"15,515",6670
10,1987,8,"42,015","17,970",9853,6124,"2,987",108.94,"32,201",7822
11,1987,8,"1,39,757","47,805",23636,64486,"2,575",108.99,"1,30,702",22941
12,1987,8,"47,059","22,394",2389,25120,522,116.03,"30,374",10753
13,1987,8,"17,252","7,635",1067,9553,694,105.53,"32,075",6673
14,1987,8,"58,173","16,149",3422,31217,718,110.63,"34,981",14761
15,1987,8,"9,527","6,371",453,3858,"2,758",104.91,"29,461",1831
16,1987,8,"1,12,592","38,905",31227,38743,"1,093",104.07,"5,86,027",20234
17,1987,8,"3,49,700","1,33,682",6413,108784,"11,740",103.83,"60,618",61051
18,1987,8,"2,01,129","1,43,570",3846,6188,"22,692",105.08,"69,668",43093
19,1987,8,"52,558","12,232",3664,26321,"3,018",102.07,"19,893",6486
20,1987,8,"1,48,111","74,952",40164,18065,"8,091",104.51,"5,17,139",26022
21,1987,8,"18,049","7,040",3503,4872,538,103.45,"48,862",8955
22,1987,8,"79,228","61,259",1309,1726,"1,432",105.51,"94,784",9385
23,1987,8,"43,035","27,314",530,1798,843,101.46,"51,098",7526
24,1987,8,"1,71,495","1,23,494",1087,5765,"9,612",105.8,"7,56,009",33816
25,1987,8,"40,734","35,157",152,4273,"4,912",104,"23,910",1874
26,1987,8,"33,685","13,688",621,15229,"1,806",107.22,"11,113",6586
27,1987,8,"2,88,696","2,46,833",498,23437,"8,899",108.55,"16,80,714",5606
1,1988,9,"10,38,145","7,70,928",15913,209229,"2,14,231",102.4,"13,02,539",42076
2,1988,9,"1,78,777","1,07,787",11277,10171,"2,355",109.9,"1,03,327",8514
3,1988,9,"1,53,061","43,751",2593,78305,"7,501",105.46,"1,46,613",18361
4,1988,9,"92,308","33,102",7439,38043,"12,306",105.43,"82,485",22817
5,1988,9,"34,207","18,383",449,5700,"3,012",95.52,"12,343",2739
6,1988,9,"29,032","11,282",2223,8728,953,108.41,"1,75,090",4052
7,1988,9,"2,59,627","30,432",6298,341689,91,104.12,"17,814",3708
8,1988,9,"1,17,739","32,809",10017,30569,"1,344",110.6,"1,11,352",15531
9,1988,9,"17,138","7,268",1910,9947,393,111.01,"17,149",7049
10,1988,9,"47,551","19,655",10723,6509,"3,019",110.28,"35,937",8106
11,1988,9,"1,57,206","56,978",27705,70686,"2,615",110.34,"1,37,737",26705
12,1988,9,"46,671","21,479",2700,25301,543,118.52,"32,670",11277
13,1988,9,"19,509","7,445",1359,11411,731,106.35,"35,679",8714
14,1988,9,"67,127","17,349",4243,36929,747,112.24,"36,724",17846
15,1988,9,"9,074","5,752",419,3298,"2,854",105.63,"32,522",1573
16,1988,9,"1,25,345","42,678",35843,40016,"1,107",104.66,"6,34,176",22493
17,1988,9,"3,73,731","1,43,080",7051,114271,"12,347",104.39,"63,896",66536
18,1988,9,"2,13,809","1,53,110",4430,6973,"23,583",105.83,"76,112",44341
19,1988,9,"54,391","13,042",4260,28128,"3,077",102.37,"21,546",6820
20,1988,9,"1,52,535","78,383",43262,18277,"8,362",105.17,"5,31,615",26007
21,1988,9,"19,042","7,361",4417,5511,566,103.95,"54,551",10538
22,1988,9,"88,043","68,103",1622,1681,"1,529",106.32,"1,01,030",10069
23,1988,9,"46,033","29,029",579,1947,902,101.67,"55,180",8356
24,1988,9,"1,82,170","1,31,180",1033,6339,"9,757",106.66,"7,98,472",35531
25,1988,9,"43,229","37,759",178,4192,"5,110",104.58,"25,883",1874
26,1988,9,"35,882","14,986",685,16231,"1,847",108.29,"12,263",6918
27,1988,9,"3,11,990","2,67,639",522,24380,"9,411",109.83,"17,24,813",5958
1,1989,10,"10,59,933","7,80,096",18389,218639,"2,18,926",102.7,"13,35,592",42810
2,1989,10,"1,88,355","1,15,973",11232,10463,"2,400",111.2,"1,13,895",8667
3,1989,10,"1,67,183","47,191",3008,87897,"7,791",106.16,"1,61,023",21184
4,1989,10,"1,12,418","39,148",9161,48610,"12,075",106.13,"89,332",29968
5,1989,10,"36,050","19,335",458,5840,"3,058",94.97,"13,196",2690
6,1989,10,"33,773","13,622",2618,10253,955,109.51,"1,98,256",5007
7,1989,10,"2,73,205","34,175",6067,335414,92,104.65,"18,946",4254
8,1989,10,"1,38,293","38,860",10211,35701,"1,408",112,"1,17,663",17437
9,1989,10,"19,636","6,875",2452,12252,430,112.47,"18,716",8506
10,1989,10,"55,059","23,305",12415,7544,"3,050",111.64,"38,800",8991
